Gramine is starting. Parsing TOML manifest file, this may take some time...
-----------------------------------------------------------------------------------------------------------------------
Gramine detected the following insecure configurations:

  - loader.insecure__use_cmdline_argv = true   (forwarding command-line args from untrusted host to the app)
  - sgx.allowed_files = [ ... ]                (some files are passed through from untrusted host without verification)

Gramine will continue application execution, but this configuration must not be used in production!
-----------------------------------------------------------------------------------------------------------------------

Emulating a raw syscall instruction. This degrades performance, consider patching your application to use Gramine syscall API.
2023/01/19 22:04:39 Generating Keys...
2023/01/19 22:13:33 Encrypting File
2023/01/19 22:13:33 Decrypting file
2023/01/19 22:13:33 File Size: 20480 Encrypt: OAEP Hash: SHA256 Key Size: 16384 Loops: 100
2023/01/19 22:13:38 loop 0 : 4.955426s
2023/01/19 22:13:43 loop 1 : 4.978456s
2023/01/19 22:13:48 loop 2 : 4.957052s
2023/01/19 22:13:53 loop 3 : 4.958667s
2023/01/19 22:13:58 loop 4 : 4.968187s
2023/01/19 22:14:03 loop 5 : 4.944224s
2023/01/19 22:14:08 loop 6 : 4.971556s
2023/01/19 22:14:13 loop 7 : 4.939319s
2023/01/19 22:14:18 loop 8 : 4.952128s
2023/01/19 22:14:23 loop 9 : 4.977646s
2023/01/19 22:14:28 loop 10 : 4.96341s
2023/01/19 22:14:33 loop 11 : 4.957s
2023/01/19 22:14:38 loop 12 : 4.952759s
2023/01/19 22:14:43 loop 13 : 4.95107s
2023/01/19 22:14:48 loop 14 : 4.963395s
2023/01/19 22:14:52 loop 15 : 4.954312s
2023/01/19 22:14:57 loop 16 : 4.96746s
2023/01/19 22:15:02 loop 17 : 4.938349s
2023/01/19 22:15:07 loop 18 : 4.949514s
2023/01/19 22:15:12 loop 19 : 4.924653s
2023/01/19 22:15:17 loop 20 : 4.957499s
2023/01/19 22:15:22 loop 21 : 4.947987s
2023/01/19 22:15:27 loop 22 : 4.979855s
2023/01/19 22:15:32 loop 23 : 4.951598s
2023/01/19 22:15:37 loop 24 : 4.932219s
2023/01/19 22:15:42 loop 25 : 4.952093s
2023/01/19 22:15:47 loop 26 : 4.957362s
2023/01/19 22:15:52 loop 27 : 4.928668s
2023/01/19 22:15:57 loop 28 : 4.958157s
2023/01/19 22:16:02 loop 29 : 4.954076s
2023/01/19 22:16:07 loop 30 : 4.944727s
2023/01/19 22:16:12 loop 31 : 4.951278s
2023/01/19 22:16:17 loop 32 : 4.936491s
2023/01/19 22:16:22 loop 33 : 4.957488s
2023/01/19 22:16:27 loop 34 : 4.95069s
2023/01/19 22:16:31 loop 35 : 4.925388s
2023/01/19 22:16:36 loop 36 : 4.996015s
2023/01/19 22:16:41 loop 37 : 4.950914s
2023/01/19 22:16:46 loop 38 : 4.947499s
2023/01/19 22:16:51 loop 39 : 4.9734s
2023/01/19 22:16:56 loop 40 : 4.955738s
2023/01/19 22:17:01 loop 41 : 4.934395s
2023/01/19 22:17:06 loop 42 : 4.964622s
2023/01/19 22:17:11 loop 43 : 4.931833s
2023/01/19 22:17:16 loop 44 : 4.955499s
2023/01/19 22:17:21 loop 45 : 4.938706s
2023/01/19 22:17:26 loop 46 : 4.951622s
2023/01/19 22:17:31 loop 47 : 4.941425s
2023/01/19 22:17:36 loop 48 : 4.952016s
2023/01/19 22:17:41 loop 49 : 4.944122s
2023/01/19 22:17:46 loop 50 : 4.929118s
2023/01/19 22:17:51 loop 51 : 4.947609s
2023/01/19 22:17:56 loop 52 : 4.957084s
2023/01/19 22:18:01 loop 53 : 4.959372s
2023/01/19 22:18:06 loop 54 : 4.95589s
2023/01/19 22:18:10 loop 55 : 4.945275s
2023/01/19 22:18:15 loop 56 : 4.966728s
2023/01/19 22:18:20 loop 57 : 4.955629s
2023/01/19 22:18:25 loop 58 : 4.921258s
2023/01/19 22:18:30 loop 59 : 4.956394s
2023/01/19 22:18:35 loop 60 : 4.931141s
2023/01/19 22:18:40 loop 61 : 4.978156s
2023/01/19 22:18:45 loop 62 : 4.927647s
2023/01/19 22:18:50 loop 63 : 4.947864s
2023/01/19 22:18:55 loop 64 : 4.991484s
2023/01/19 22:19:00 loop 65 : 4.940793s
2023/01/19 22:19:05 loop 66 : 4.968815s
2023/01/19 22:19:10 loop 67 : 4.930443s
2023/01/19 22:19:15 loop 68 : 4.924782s
2023/01/19 22:19:20 loop 69 : 4.947819s
2023/01/19 22:19:25 loop 70 : 4.944626s
2023/01/19 22:19:30 loop 71 : 4.984591s
2023/01/19 22:19:35 loop 72 : 4.941198s
2023/01/19 22:19:40 loop 73 : 4.971213s
2023/01/19 22:19:45 loop 74 : 4.929556s
2023/01/19 22:19:49 loop 75 : 4.956866s
2023/01/19 22:19:54 loop 76 : 4.955168s
2023/01/19 22:19:59 loop 77 : 4.975197s
2023/01/19 22:20:04 loop 78 : 4.956868s
2023/01/19 22:20:09 loop 79 : 4.943811s
